Date,State,Deaths,ICU Hospitalizations,Positive Viral Cases,Positive Increase,Total Test Results,Test Increase
2020-09-02,CA,145,1339.0,712052,4255,11580370,109674
2020-09-01,NY,3,109.0,0,754,8340030,76997
2020-09-01,CA,85,1352.0,707797,3712,11470696,97391
2020-08-31,NY,1,109.0,0,656,8263033,66241
2020-08-31,CA,28,1346.0,704085,4176,11373305,141476
2020-08-30,NY,8,112.0,0,698,8196792,100022
2020-08-30,CA,71,1396.0,699909,6070,11231829,122199
2020-08-29,NY,7,116.0,0,635,8096770,93873
2020-08-29,CA,144,1411.0,693839,4981,11109630,98993
2020-08-28,NY,3,122.0,0,636,8002897,97826
2020-08-28,CA,140,1477.0,688858,5329,11010637,92222
2020-08-27,NY,4,126.0,0,791,7905071,83437
2020-08-27,CA,143,1492.0,683529,4430,10918415,85658
2020-08-26,NY,8,136.0,0,566,7821634,71189
2020-08-26,CA,150,1507.0,679099,6004,10832757,70251
2020-08-25,NY,2,133.0,0,629,7750445,67255
2020-08-25,CA,105,1540.0,673095,4480,10762506,110019
2020-08-24,NY,7,120.0,0,408,7683190,62031
2020-08-24,CA,18,1549.0,668615,4946,10652487,111456
2020-08-23,NY,6,110.0,0,572,7621159,74043
2020-08-23,CA,146,1582.0,663669,6777,10541031,104679
2020-08-22,NY,4,116.0,0,653,7547116,94849
2020-08-22,CA,167,1675.0,656892,6556,10436352,106980
2020-08-21,NY,3,119.0,0,709,7452267,98880
2020-08-21,CA,135,1706.0,650336,5585,10329372,101406
2020-08-20,NY,5,120.0,0,601,7353387,80984
2020-08-20,CA,163,1707.0,644751,5920,10227966,87283
2020-08-19,NY,6,131.0,0,631,7272403,80425
2020-08-19,CA,181,1761.0,638831,6164,10140683,91644
2020-08-18,NY,8,126.0,0,655,7191978,66891
2020-08-18,CA,100,1801.0,632667,4636,10049039,115259
2020-08-17,NY,6,133.0,0,408,7125087,56891
2020-08-17,CA,18,1811.0,628031,6469,9933780,135645
2020-08-16,NY,6,128.0,0,607,7068196,77692
2020-08-16,CA,77,1820.0,621562,7873,9798135,117024
2020-08-15,NY,12,120.0,0,734,6990504,88668
2020-08-15,CA,151,1812.0,613689,12614,9681111,124513
2020-08-14,NY,4,127.0,0,727,6901836,85455
2020-08-14,CA,188,1850.0,601075,7934,9556598,111105
2020-08-13,NY,10,124.0,0,737,6816381,87900
2020-08-13,CA,160,1826.0,593141,7085,9445493,142026
2020-08-12,NY,7,123.0,0,700,6728481,87776
2020-08-12,CA,180,1873.0,586056,11645,9303467,117188
2020-08-11,NY,7,120.0,0,667,6640705,77059
2020-08-11,CA,109,1885.0,574411,12500,9186279,187926
2020-08-10,NY,2,127.0,0,476,6563646,54002
2020-08-10,CA,66,1879.0,561911,7751,8998353,172234
2020-08-09,NY,7,131.0,0,515,6509644,65812
2020-08-09,CA,104,1891.0,554160,8373,8826119,118592
2020-08-08,NY,5,133.0,0,703,6443832,74857
2020-08-08,CA,178,2038.0,545787,7371,8707527,110645
2020-08-07,NY,5,139.0,0,714,6368975,70170
2020-08-07,CA,142,1978.0,538416,8436,8596882,96419
2020-08-06,NY,6,132.0,0,703,6298805,72370
2020-08-06,CA,166,2026.0,529980,5258,8500463,91063
2020-08-05,NY,4,134.0,0,636,6226435,72668
2020-08-05,CA,202,2005.0,524722,5295,8409400,103687
2020-08-04,NY,3,139.0,0,746,6153767,70993
2020-08-04,CA,113,2082.0,519427,4526,8305713,121017
2020-08-03,NY,2,136.0,0,545,6082774,51839
2020-08-03,CA,32,2069.0,514901,5739,8184696,148721
